delEtabin: 2   delPhiBin: 1
(etaD, etaH): 6 , 1   (phiD, phiH): 4 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 5 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 6 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 7 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 8 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 9 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 10 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 11 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 12 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 13 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 14 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 15 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 16 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 17 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 18 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 19 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 20 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 21 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 22 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 23 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 24 , 1
(etaD, etaH): 6 , 1   (phiD, phiH): 4 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 5 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 6 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 7 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 8 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 9 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 10 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 11 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 12 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 13 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 14 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 15 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 16 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 17 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 18 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 19 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 20 , 2
(etaD, etaH): 6 , 1   (phiD, phiH): 21 , 2
