Eta Bin	Phi Bin	Content	Error
-1.84615	-1.0472	-0.0666005	0.0430839
-1.84615	-0.523599	-0.162782	0.0416877
-1.84615	0.0	-0.0645379	0.0428637
-1.84615	0.523599	-0.162782	0.0416877
-1.84615	1.0472	-0.0666005	0.0430839
-1.84615	1.5708	-0.016288	0.0431499
-1.84615	2.0944	-0.0748363	0.0431776
-1.84615	2.61799	0.018844	0.0454014
-1.84615	3.14159	-0.046522	0.0440197
-1.84615	3.66519	0.018844	0.0454014
-1.84615	4.18879	-0.0748363	0.0431776
-1.84615	4.71239	-0.016288	0.0431499
-1.53846	-1.0472	-0.0328802	0.0212958
-1.53846	-0.523599	0.0174579	0.021837
-1.53846	0.0	-0.0215451	0.0212256
-1.53846	0.523599	0.0174579	0.021837
-1.53846	1.0472	-0.0328802	0.0212958
-1.53846	1.5708	0.00528475	0.0216114
-1.53846	2.0944	-0.020081	0.021562
-1.53846	2.61799	0.00134201	0.021755
-1.53846	3.14159	0.0281266	0.0217286
-1.53846	3.66519	0.00134201	0.021755
-1.53846	4.18879	-0.020081	0.021562
-1.53846	4.71239	0.00528475	0.0216114
-1.23077	-1.0472	-0.0301783	0.0142333
-1.23077	-0.523599	0.0111573	0.0146566
-1.23077	0.0	-0.00418141	0.0142563
-1.23077	0.523599	0.0111573	0.0146566
-1.23077	1.0472	-0.0301783	0.0142333
-1.23077	1.5708	-0.01307	0.0143397
-1.23077	2.0944	0.0132515	0.0146259
-1.23077	2.61799	0.0237404	0.0145765
-1.23077	3.14159	-0.00423745	0.0144033
-1.23077	3.66519	0.0237404	0.0145765
-1.23077	4.18879	0.0132515	0.0146259
-1.23077	4.71239	-0.01307	0.0143397
-0.923077	-1.0472	0.00893553	0.011449
-0.923077	-0.523599	0.0374297	0.0115491
-0.923077	0.0	0.012118	0.0113415
-0.923077	0.523599	0.0374297	0.0115491
-0.923077	1.0472	0.00893553	0.011449
-0.923077	1.5708	-0.00555022	0.0113361
-0.923077	2.0944	-0.019499	0.0112505
-0.923077	2.61799	-0.010947	0.0113095
-0.923077	3.14159	0.000536009	0.0113606
-0.923077	3.66519	-0.010947	0.0113095
-0.923077	4.18879	-0.019499	0.0112505
-0.923077	4.71239	-0.00555022	0.0113361
-0.615385	-1.0472	-0.00137048	0.00971915
-0.615385	-0.523599	-0.000916489	0.00967993
-0.615385	0.0	0.0160569	0.00973362
-0.615385	0.523599	-0.000916489	0.00967993
-0.615385	1.0472	-0.00137048	0.00971915
-0.615385	1.5708	-0.0129538	0.00964734
