Eta Bin	Phi Bin	Content	Error
-1.84615	-1.0472	-0.0174327	0.090897
-1.84615	-0.523599	-0.03747	0.0913374
-1.84615	0.0	-0.0556726	0.0491477
-1.84615	0.523599	-0.03747	0.0913374
-1.84615	1.0472	-0.0174327	0.090897
-1.84615	1.5708	0.0245511	0.0836715
-1.84615	2.0944	-0.0682604	0.0976267
-1.84615	2.61799	0.0674228	0.135565
-1.84615	3.14159	0.00719758	0.0564822
-1.84615	3.66519	0.0674228	0.135565
-1.84615	4.18879	-0.0682604	0.0976267
-1.84615	4.71239	0.0245511	0.0836715
-1.53846	-1.0472	-0.0124162	0.0136076
-1.53846	-0.523599	-0.0246201	0.0136039
-1.53846	0.0	0.00377353	0.0137792
-1.53846	0.523599	-0.0246201	0.0136039
-1.53846	1.0472	-0.0124162	0.0136076
-1.53846	1.5708	-0.0137501	0.0136105
-1.53846	2.0944	-0.00385832	0.0136385
-1.53846	2.61799	0.0360443	0.0140049
-1.53846	3.14159	0.0523587	0.0137618
-1.53846	3.66519	0.0360443	0.0140049
-1.53846	4.18879	-0.00385832	0.0136385
-1.53846	4.71239	-0.0137501	0.0136105
-1.23077	-1.0472	-0.0224581	0.00766891
-1.23077	-0.523599	0.0162534	0.007793
-1.23077	0.0	0.00886818	0.00779726
-1.23077	0.523599	0.0162534	0.007793
-1.23077	1.0472	-0.0224581	0.00766891
-1.23077	1.5708	-0.0204092	0.0076572
-1.23077	2.0944	-0.0260077	0.00766675
-1.23077	2.61799	0.0176836	0.00779734
-1.23077	3.14159	0.0105505	0.00775612
-1.23077	3.66519	0.0176836	0.00779734
-1.23077	4.18879	-0.0260077	0.00766675
-1.23077	4.71239	-0.0204092	0.0076572
-0.923077	-1.0472	-0.00862035	0.00562769
-0.923077	-0.523599	0.00259105	0.00567031
-0.923077	0.0	0.0240597	0.00572031
-0.923077	0.523599	0.00259105	0.00567031
-0.923077	1.0472	-0.00862035	0.00562769
-0.923077	1.5708	-0.0288235	0.00558382
-0.923077	2.0944	-0.00764583	0.00563327
-0.923077	2.61799	0.00926769	0.00568592
-0.923077	3.14159	0.0151868	0.00568766
-0.923077	3.66519	0.00926769	0.00568592
-0.923077	4.18879	-0.00764583	0.00563327
-0.923077	4.71239	-0.0288235	0.00558382
-0.615385	-1.0472	-0.0206095	0.0046461
-0.615385	-0.523599	0.0148361	0.00470686
-0.615385	0.0	0.0244976	0.0047154
-0.615385	0.523599	0.0148361	0.00470686
-0.615385	1.0472	-0.0206095	0.0046461
-0.615385	1.5708	-0.0202449	0.0046488
-0.615385	2.0944	0.00261646	0.00468959
-0.615385	2.61799	0.0121736	0.00471705
-0.615385	3.14159	0.0304228	0.00476184
-0.615385	3.66519	0.0121736	0.00471705
-0.615385	4.18879	0.00261646	0.00468959
-0.615385	4.71239	-0.0202449	0.0046488
-0.307692	-1.0472	-0.014104	0.00416027
-0.307692	-0.523599	0.00962248	0.00417132
-0.307692	0.0	0.0261568	0.00426114
-0.307692	0.523599	0.00962248	0.00417132
-0.307692	1.0472	-0.014104	0.00416027
-0.307692	1.5708	-0.0202671	0.00416756
