Eta Bin	Phi Bin	Content	Error
-1.84615	-1.0472	-0.00659541	0.0455281
-1.84615	-0.523599	-0.0455657	0.0444812
-1.84615	0.0	-0.00950092	0.0445735
-1.84615	0.523599	-0.0455657	0.0444812
-1.84615	1.0472	-0.00659541	0.0455281
-1.84615	1.5708	-0.0890207	0.0434163
-1.84615	2.0944	-0.00450532	0.0449809
-1.84615	2.61799	-0.0406579	0.0447841
-1.84615	3.14159	-0.0397261	0.0447087
-1.84615	3.66519	-0.0406579	0.0447841
-1.84615	4.18879	-0.00450532	0.0449809
-1.84615	4.71239	-0.0890207	0.0434163
-1.53846	-1.0472	-0.0336231	0.0241363
-1.53846	-0.523599	-0.0541891	0.0238822
-1.53846	0.0	-0.00567542	0.024499
-1.53846	0.523599	-0.0541891	0.0238822
-1.53846	1.0472	-0.0336231	0.0241363
-1.53846	1.5708	-0.0267046	0.0239874
-1.53846	2.0944	0.00527698	0.0248902
-1.53846	2.61799	0.00610219	0.0245825
-1.53846	3.14159	-0.0721441	0.0232431
-1.53846	3.66519	0.00610219	0.0245825
-1.53846	4.18879	0.00527698	0.0248902
-1.53846	4.71239	-0.0267046	0.0239874
-1.23077	-1.0472	-0.0333486	0.0157861
-1.23077	-0.523599	-0.014532	0.0158597
-1.23077	0.0	0.000652161	0.0158826
-1.23077	0.523599	-0.014532	0.0158597
-1.23077	1.0472	-0.0333486	0.0157861
-1.23077	1.5708	-0.029195	0.0158514
-1.23077	2.0944	-0.0328019	0.0160066
-1.23077	2.61799	0.0241666	0.0162637
-1.23077	3.14159	-0.0202631	0.0156648
-1.23077	3.66519	0.0241666	0.0162637
-1.23077	4.18879	-0.0328019	0.0160066
-1.23077	4.71239	-0.029195	0.0158514
-0.923077	-1.0472	0.00811107	0.0126697
-0.923077	-0.523599	0.0195267	0.012706
-0.923077	0.0	0.00999299	0.0125586
-0.923077	0.523599	0.0195267	0.012706
-0.923077	1.0472	0.00811107	0.0126697
-0.923077	1.5708	-0.0218501	0.0124365
-0.923077	2.0944	0.00596093	0.0127153
-0.923077	2.61799	-0.0134429	0.0126616
-0.923077	3.14159	0.0294331	0.012698
-0.923077	3.66519	-0.0134429	0.0126616
-0.923077	4.18879	0.00596093	0.0127153
-0.923077	4.71239	-0.0218501	0.0124365
-0.615385	-1.0472	-0.00668405	0.0106347
-0.615385	-0.523599	0.0174366	0.0107886
-0.615385	0.0	0.0617684	0.0109704
-0.615385	0.523599	0.0174366	0.0107886
-0.615385	1.0472	-0.00668405	0.0106347
-0.615385	1.5708	-0.0141907	0.0106128
-0.615385	2.0944	-0.00560029	0.0107409
-0.615385	2.61799	0.0177905	0.0108293
-0.615385	3.14159	0.0419833	0.0109084
-0.615385	3.66519	0.0177905	0.0108293
-0.615385	4.18879	-0.00560029	0.0107409
-0.615385	4.71239	-0.0141907	0.0106128
-0.307692	-1.0472	-0.0166743	0.00956228
-0.307692	-0.523599	0.0122683	0.00976947
-0.307692	0.0	0.0463107	0.00988104
-0.307692	0.523599	0.0122683	0.00976947
-0.307692	1.0472	-0.0166743	0.00956228
-0.307692	1.5708	-0.0315784	0.00957508
-0.307692	2.0944	-0.010964	0.00974336
-0.307692	2.61799	0.0292678	0.00985995
-0.307692	3.14159	0.0330499	0.00989118
-0.307692	3.66519	0.0292678	0.00985995
-0.307692	4.18879	-0.010964	0.00974336
-0.307692	4.71239	-0.0315784	0.00957508
0.0	-1.0472	-0.025751	0.00925532
0.0	-0.523599	0.0151698	0.00946905
0.0	-1.66533e-016	0.0545143	0.00957176
0.0	0.523599	0.0151698	0.00946905
0.0	1.0472	-0.025751	0.00925532
0.0	1.5708	-0.0270421	0.00928966
0.0	2.0944	-0.0210876	0.00940125
0.0	2.61799	-0.00883159	0.0093988
0.0	3.14159	0.0215279	0.00946396
0.0	3.66519	-0.00883159	0.0093988
0.0	4.18879	-0.0210876	0.00940125
0.0	4.71239	-0.0270421	0.00928966
0.307692	-1.0472	-0.0166743	0.00956228
0.307692	-0.523599	0.0122683	0.00976947
0.307692	0.0	0.0463107	0.00988104
0.307692	0.523599	0.0122683	0.00976947
0.307692	1.0472	-0.0166743	0.00956228
0.307692	1.5708	-0.0315784	0.00957508
0.307692	2.0944	-0.010964	0.00974336
0.307692	2.61799	0.0292678	0.00985995
0.307692	3.14159	0.0330499	0.00989118
0.307692	3.66519	0.0292678	0.00985995
0.307692	4.18879	-0.010964	0.00974336
0.307692	4.71239	-0.0315784	0.00957508
0.615385	-1.0472	-0.00668405	0.0106347
0.615385	-0.523599	0.0174366	0.0107886
0.615385	0.0	0.0617684	0.0109704
0.615385	0.523599	0.0174366	0.0107886
0.615385	1.0472	-0.00668405	0.0106347
0.615385	1.5708	-0.0141907	0.0106128
0.615385	2.0944	-0.00560029	0.0107409
0.615385	2.61799	0.0177905	0.0108293
0.615385	3.14159	0.0419833	0.0109084
0.615385	3.66519	0.0177905	0.0108293
0.615385	4.18879	-0.00560029	0.0107409
0.615385	4.71239	-0.0141907	0.0106128
0.923077	-1.0472	0.00811107	0.0126697
0.923077	-0.523599	0.0195267	0.012706
