Eta Bin	Phi Bin	Content	Error
-1.84615	-1.0472	-0.0893089	0.0382351
-1.84615	-0.523599	-0.0801304	0.0385991
-1.84615	0.0	-0.111545	0.0376722
-1.84615	0.523599	-0.0801304	0.0385991
-1.84615	1.0472	-0.0893089	0.0382351
-1.84615	1.5708	-0.0607919	0.038836
-1.84615	2.0944	-0.0119932	0.0401012
-1.84615	2.61799	-0.0429538	0.0386939
-1.84615	3.14159	0.062114	0.0424985
-1.84615	3.66519	-0.0429538	0.0386939
-1.84615	4.18879	-0.0119932	0.0401012
-1.84615	4.71239	-0.0607919	0.038836
-1.53846	-1.0472	0.0185158	0.0197086
-1.53846	-0.523599	-0.0125179	0.0194004
-1.53846	0.0	0.0424338	0.0196893
-1.53846	0.523599	-0.0125179	0.0194004
-1.53846	1.0472	0.0185158	0.0197086
-1.53846	1.5708	-0.00821963	0.0193875
-1.53846	2.0944	-0.0103808	0.0193796
-1.53846	2.61799	-0.0199014	0.0193278
-1.53846	3.14159	-0.0260719	0.019309
-1.53846	3.66519	-0.0199014	0.0193278
-1.53846	4.18879	-0.0103808	0.0193796
-1.53846	4.71239	-0.00821963	0.0193875
-1.23077	-1.0472	-0.0233819	0.0122932
-1.23077	-0.523599	0.00200452	0.0124956
-1.23077	0.0	-0.0200194	0.0122281
-1.23077	0.523599	0.00200452	0.0124956
-1.23077	1.0472	-0.0233819	0.0122932
-1.23077	1.5708	-0.000805137	0.0124707
-1.23077	2.0944	-0.0240986	0.0122824
-1.23077	2.61799	0.0104491	0.0125011
-1.23077	3.14159	0.0101237	0.0124229
-1.23077	3.66519	0.0104491	0.0125011
-1.23077	4.18879	-0.0240986	0.0122824
-1.23077	4.71239	-0.000805137	0.0124707
-0.923077	-1.0472	-0.00900838	0.00964262
-0.923077	-0.523599	0.024565	0.00978526
-0.923077	0.0	-0.0123939	0.00958074
-0.923077	0.523599	0.024565	0.00978526
-0.923077	1.0472	-0.00900838	0.00964262
-0.923077	1.5708	-0.0190988	0.00956922
-0.923077	2.0944	-0.0212502	0.00956112
-0.923077	2.61799	-0.00958958	0.00964887
-0.923077	3.14159	-0.00535617	0.00962563
-0.923077	3.66519	-0.00958958	0.00964887
-0.923077	4.18879	-0.0212502	0.00956112
-0.923077	4.71239	-0.0190988	0.00956922
-0.615385	-1.0472	-0.00840011	0.00819235
-0.615385	-0.523599	0.0198894	0.00824505
-0.615385	0.0	0.0244129	0.00825573
-0.615385	0.523599	0.0198894	0.00824505
-0.615385	1.0472	-0.00840011	0.00819235
-0.615385	1.5708	-0.0293812	0.00812329
-0.615385	2.0944	-0.00587466	0.00822731
-0.615385	2.61799	0.00180455	0.00820506
-0.615385	3.14159	0.00805914	0.00820282
-0.615385	3.66519	0.00180455	0.00820506
-0.615385	4.18879	-0.00587466	0.00822731
-0.615385	4.71239	-0.0293812	0.00812329
-0.307692	-1.0472	-0.0142907	0.00737042
-0.307692	-0.523599	0.0194815	0.00743359
-0.307692	0.0	0.0423916	0.00754404
-0.307692	0.523599	0.0194815	0.00743359
-0.307692	1.0472	-0.0142907	0.00737042
-0.307692	1.5708	-0.0246711	0.00737275
-0.307692	2.0944	0.00131716	0.0074725
-0.307692	2.61799	0.00612049	0.00749633
-0.307692	3.14159	0.0350682	0.00752375
-0.307692	3.66519	0.00612049	0.00749633
-0.307692	4.18879	0.00131716	0.0074725
-0.307692	4.71239	-0.0246711	0.00737275
0.0	-1.0472	-0.000870364	0.00721069
0.0	-0.523599	0.0334474	0.00725046
0.0	-1.66533e-016	0.0559678	0.00730025
0.0	0.523599	0.0334474	0.00725046
0.0	1.0472	-0.000870364	0.00721069
0.0	1.5708	-0.00216803	0.00717226
0.0	2.0944	-0.0269705	0.00711873
0.0	2.61799	0.0141144	0.00726807
0.0	3.14159	0.025404	0.00728793
0.0	3.66519	0.0141144	0.00726807
0.0	4.18879	-0.0269705	0.00711873
0.0	4.71239	-0.00216803	0.00717226
0.307692	-1.0472	-0.0142907	0.00737042
0.307692	-0.523599	0.0194815	0.00743359
0.307692	0.0	0.0423916	0.00754404
0.307692	0.523599	0.0194815	0.00743359
0.307692	1.0472	-0.0142907	0.00737042
0.307692	1.5708	-0.0246711	0.00737275
0.307692	2.0944	0.00131716	0.0074725
0.307692	2.61799	0.00612049	0.00749633
0.307692	3.14159	0.0350682	0.00752375
0.307692	3.66519	0.00612049	0.00749633
0.307692	4.18879	0.00131716	0.0074725
0.307692	4.71239	-0.0246711	0.00737275
0.615385	-1.0472	-0.00840011	0.00819235
0.615385	-0.523599	0.0198894	0.00824505
0.615385	0.0	0.0244129	0.00825573
0.615385	0.523599	0.0198894	0.00824505
0.615385	1.0472	-0.00840011	0.00819235
0.615385	1.5708	-0.0293812	0.00812329
0.615385	2.0944	-0.00587466	0.00822731
0.615385	2.61799	0.00180455	0.00820506
0.615385	3.14159	0.00805914	0.00820282
0.615385	3.66519	0.00180455	0.00820506
0.615385	4.18879	-0.00587466	0.00822731
0.615385	4.71239	-0.0293812	0.00812329
0.923077	-1.0472	-0.00900838	0.00964262
0.923077	-0.523599	0.024565	0.00978526
0.923077	0.0	-0.0123939	0.00958074
0.923077	0.523599	0.024565	0.00978526
0.923077	1.0472	-0.00900838	0.00964262
0.923077	1.5708	-0.0190988	0.00956922
0.923077	2.0944	-0.0212502	0.00956112
0.923077	2.61799	-0.00958958	0.00964887
0.923077	3.14159	-0.00535617	0.00962563
0.923077	3.66519	-0.00958958	0.00964887
0.923077	4.18879	-0.0212502	0.00956112
0.923077	4.71239	-0.0190988	0.00956922
1.23077	-1.0472	-0.0233819	0.0122932
1.23077	-0.523599	0.00200452	0.0124956
1.23077	0.0	-0.0200194	0.0122281
1.23077	0.523599	0.00200452	0.0124956
1.23077	1.0472	-0.0233819	0.0122932
1.23077	1.5708	-0.000805137	0.0124707
1.23077	2.0944	-0.0240986	0.0122824
1.23077	2.61799	0.0104491	0.0125011
1.23077	3.14159	0.0101237	0.0124229
1.23077	3.66519	0.0104491	0.0125011
1.23077	4.18879	-0.0240986	0.0122824
1.23077	4.71239	-0.000805137	0.0124707
1.53846	-1.0472	0.0185158	0.0197086
