Eta Bin	Phi Bin	Content	Error
-1.84615	-1.0472	0.15036	0.131733
-1.84615	-0.523599	0.133287	0.136939
-1.84615	0.0	0.298291	0.1031
-1.84615	0.523599	0.133287	0.136939
-1.84615	1.0472	0.15036	0.131733
-1.84615	1.5708	0.718395	0.897268
-1.84615	2.0944	-0.292826	0.161711
-1.84615	2.61799	-0.209672	0.1869
-1.84615	3.14159	0.118624	0.117972
-1.84615	3.66519	-0.209672	0.1869
-1.84615	4.18879	-0.292826	0.161711
-1.84615	4.71239	0.718395	0.897268
-1.53846	-1.0472	-0.042049	0.0450811
-1.53846	-0.523599	-0.0652314	0.0446047
-1.53846	0.0	-0.0573108	0.0470225
-1.53846	0.523599	-0.0652314	0.0446047
-1.53846	1.0472	-0.042049	0.0450811
-1.53846	1.5708	0.0288149	0.0518533
-1.53846	2.0944	0.0340927	0.055944
-1.53846	2.61799	0.0448682	0.0463039
-1.53846	3.14159	-0.039998	0.0421445
-1.53846	3.66519	0.0448682	0.0463039
-1.53846	4.18879	0.0340927	0.055944
-1.53846	4.71239	0.0288149	0.0518533
-1.23077	-1.0472	-0.00458294	0.0250119
-1.23077	-0.523599	0.0247187	0.0251376
-1.23077	0.0	-0.0127105	0.0250523
-1.23077	0.523599	0.0247187	0.0251376
-1.23077	1.0472	-0.00458294	0.0250119
-1.23077	1.5708	0.00169078	0.0250143
-1.23077	2.0944	-0.0245599	0.0249275
-1.23077	2.61799	0.0404045	0.0255081
-1.23077	3.14159	0.101748	0.0259888
-1.23077	3.66519	0.0404045	0.0255081
-1.23077	4.18879	-0.0245599	0.0249275
-1.23077	4.71239	0.00169078	0.0250143
-0.923077	-1.0472	-0.00131066	0.0183261
-0.923077	-0.523599	0.00261705	0.0183579
-0.923077	0.0	0.0334601	0.0189715
-0.923077	0.523599	0.00261705	0.0183579
-0.923077	1.0472	-0.00131066	0.0183261
-0.923077	1.5708	-0.0154626	0.0183602
-0.923077	2.0944	-0.0129546	0.0182464
-0.923077	2.61799	0.0349906	0.0185742
-0.923077	3.14159	0.0293627	0.0187919
-0.923077	3.66519	0.0349906	0.0185742
-0.923077	4.18879	-0.0129546	0.0182464
-0.923077	4.71239	-0.0154626	0.0183602
-0.615385	-1.0472	0.00584742	0.0152191
-0.615385	-0.523599	0.0314443	0.0154153
-0.615385	0.0	-0.00640205	0.0152225
-0.615385	0.523599	0.0314443	0.0154153
-0.615385	1.0472	0.00584742	0.0152191
-0.615385	1.5708	-0.031692	0.0151824
-0.615385	2.0944	-0.0404382	0.0150167
-0.615385	2.61799	0.0106615	0.0153247
-0.615385	3.14159	-0.0159661	0.0152812
-0.615385	3.66519	0.0106615	0.0153247
-0.615385	4.18879	-0.0404382	0.0150167
-0.615385	4.71239	-0.031692	0.0151824
-0.307692	-1.0472	-0.0334181	0.0134721
-0.307692	-0.523599	0.0197415	0.0136554
-0.307692	0.0	0.0201738	0.0138114
-0.307692	0.523599	0.0197415	0.0136554
-0.307692	1.0472	-0.0334181	0.0134721
-0.307692	1.5708	-0.0504138	0.0134635
-0.307692	2.0944	0.00252789	0.0137173
-0.307692	2.61799	0.0126165	0.0138645
-0.307692	3.14159	0.00471498	0.0137309
-0.307692	3.66519	0.0126165	0.0138645
