Eta Bin	Phi Bin	Content	Error
-1.84615	-1.0472	-0.0979081	0.104086
-1.84615	-0.523599	0.0865043	0.116743
-1.84615	0.0	0.0777613	0.0904507
-1.84615	0.523599	0.0865043	0.116743
-1.84615	1.0472	-0.0979081	0.104086
-1.84615	1.5708	-0.113538	0.11544
-1.84615	2.0944	-0.0615379	0.125068
-1.84615	2.61799	0.12805	0.118096
-1.84615	3.14159	-0.33658	0.0684639
-1.84615	3.66519	0.12805	0.118096
-1.84615	4.18879	-0.0615379	0.125068
-1.84615	4.71239	-0.113538	0.11544
-1.53846	-1.0472	0.00667632	0.0412616
-1.53846	-0.523599	0.0132388	0.0245147
-1.53846	0.0	-0.0111448	0.0265225
-1.53846	0.523599	0.0132388	0.0245147
-1.53846	1.0472	0.00667632	0.0412616
-1.53846	1.5708	-0.00227543	0.0302698
-1.53846	2.0944	0.00831465	0.0297625
-1.53846	2.61799	0.0610039	0.034171
-1.53846	3.14159	0.0940663	0.0313563
-1.53846	3.66519	0.0610039	0.034171
-1.53846	4.18879	0.00831465	0.0297625
-1.53846	4.71239	-0.00227543	0.0302698
-1.23077	-1.0472	-0.0129469	0.0101869
-1.23077	-0.523599	0.00492815	0.0113543
-1.23077	0.0	-0.00582428	0.0101698
-1.23077	0.523599	0.00492815	0.0113543
-1.23077	1.0472	-0.0129469	0.0101869
-1.23077	1.5708	-0.00310269	0.0102605
-1.23077	2.0944	-0.00607274	0.010227
-1.23077	2.61799	0.00190586	0.0102805
-1.23077	3.14159	0.0277303	0.0104218
-1.23077	3.66519	0.00190586	0.0102805
-1.23077	4.18879	-0.00607274	0.010227
-1.23077	4.71239	-0.00310269	0.0102605
-0.923077	-1.0472	-0.017484	0.00725246
-0.923077	-0.523599	-0.0111537	0.00729888
-0.923077	0.0	0.0128246	0.00735597
-0.923077	0.523599	-0.0111537	0.00729888
-0.923077	1.0472	-0.017484	0.00725246
-0.923077	1.5708	-0.00177912	0.00729397
-0.923077	2.0944	-0.00583724	0.00731441
-0.923077	2.61799	0.0119446	0.00735126
-0.923077	3.14159	0.0162292	0.00737408
-0.923077	3.66519	0.0119446	0.00735126
-0.923077	4.18879	-0.00583724	0.00731441
-0.923077	4.71239	-0.00177912	0.00729397
-0.615385	-1.0472	-0.0164049	0.00602066
-0.615385	-0.523599	0.00506403	0.00607059
-0.615385	0.0	0.0115164	0.00606039
-0.615385	0.523599	0.00506403	0.00607059
-0.615385	1.0472	-0.0164049	0.00602066
-0.615385	1.5708	-0.0181994	0.00601109
-0.615385	2.0944	-0.009331	0.00605195
-0.615385	2.61799	0.00122894	0.00606411
-0.615385	3.14159	-0.00775013	0.00605931
-0.615385	3.66519	0.00122894	0.00606411
-0.615385	4.18879	-0.009331	0.00605195
-0.615385	4.71239	-0.0181994	0.00601109
-0.307692	-1.0472	-0.0117769	0.00535692
-0.307692	-0.523599	0.0146657	0.00535265
-0.307692	0.0	0.033753	0.00533708
-0.307692	0.523599	0.0146657	0.00535265
-0.307692	1.0472	-0.0117769	0.00535692
-0.307692	1.5708	-0.00219281	0.00536234
-0.307692	2.0944	0.00416275	0.00539264
-0.307692	2.61799	0.0113787	0.00541649
-0.307692	3.14159	0.0108357	0.00542681
-0.307692	3.66519	0.0113787	0.00541649
-0.307692	4.18879	0.00416275	0.00539264
-0.307692	4.71239	-0.00219281	0.00536234
0.0	-1.0472	-0.0212299	0.00512417
0.0	-0.523599	0.00222256	0.00510715
0.0	-1.66533e-016	0.0226637	0.00523165
0.0	0.523599	0.00222256	0.00510715
0.0	1.0472	-0.0212299	0.00512417
0.0	1.5708	-0.0138939	0.00512616
0.0	2.0944	0.00166666	0.00517609
0.0	2.61799	0.00190352	0.00519064
0.0	3.14159	0.0238476	0.00522355
0.0	3.66519	0.00190352	0.00519064
0.0	4.18879	0.00166666	0.00517609
