Eta Bin	Phi Bin	Content	Error
-1.77778	-0.785398	0.167899	0.116241
-1.77778	0.0	-0.0706441	0.0983055
-1.77778	0.785398	0.167899	0.116241
-1.77778	1.5708	0.0950482	0.146265
-1.77778	2.35619	-0.0214332	0.086434
-1.77778	3.14159	-0.0376348	0.0747393
-1.77778	3.92699	-0.0214332	0.086434
-1.77778	4.71239	0.0950482	0.146265
-1.33333	-0.785398	0.00477408	0.0168057
-1.33333	0.0	-0.0124833	0.0169291
-1.33333	0.785398	0.00477408	0.0168057
-1.33333	1.5708	-0.0194339	0.016834
-1.33333	2.35619	0.0139478	0.0175819
-1.33333	3.14159	-0.0272397	0.0166271
-1.33333	3.92699	0.0139478	0.0175819
-1.33333	4.71239	-0.0194339	0.016834
-0.888889	-0.785398	-0.00414211	0.00970655
-0.888889	0.0	0.0123228	0.00972085
-0.888889	0.785398	-0.00414211	0.00970655
-0.888889	1.5708	-0.0155746	0.00959731
-0.888889	2.35619	0.0107779	0.00970412
-0.888889	3.14159	0.011772	0.00975266
-0.888889	3.92699	0.0107779	0.00970412
-0.888889	4.71239	-0.0155746	0.00959731
-0.444444	-0.785398	0.00220897	0.00764734
-0.444444	0.0	0.023842	0.00759355
-0.444444	0.785398	0.00220897	0.00764734
-0.444444	1.5708	-0.0100302	0.00760668
-0.444444	2.35619	-0.00943604	0.007634
-0.444444	3.14159	0.032394	0.00774206
-0.444444	3.92699	-0.00943604	0.007634
-0.444444	4.71239	-0.0100302	0.00760668
0.0	-0.785398	-0.0114886	0.00698552
0.0	0	0.0108588	0.00709818
0.0	0.785398	-0.0114886	0.00698552
0.0	1.5708	-0.0191484	0.00701247
0.0	2.35619	0.00471591	0.00707805
0.0	3.14159	0.0130916	0.00714311
0.0	3.92699	0.00471591	0.00707805
0.0	4.71239	-0.0191484	0.00701247
0.444444	-0.785398	0.00220897	0.00764734
0.444444	0.0	0.023842	0.00759355
0.444444	0.785398	0.00220897	0.00764734
0.444444	1.5708	-0.0100302	0.00760668
0.444444	2.35619	-0.00943604	0.007634
0.444444	3.14159	0.032394	0.00774206
0.444444	3.92699	-0.00943604	0.007634
0.444444	4.71239	-0.0100302	0.00760668
0.888889	-0.785398	-0.00414211	0.00970655
0.888889	0.0	0.0123228	0.00972085
0.888889	0.785398	-0.00414211	0.00970655
0.888889	1.5708	-0.0155746	0.00959731
0.888889	2.35619	0.0107779	0.00970412
0.888889	3.14159	0.011772	0.00975266
0.888889	3.92699	0.0107779	0.00970412
0.888889	4.71239	-0.0155746	0.00959731
1.33333	-0.785398	0.00477408	0.0168057
1.33333	0.0	-0.0124833	0.0169291
1.33333	0.785398	0.00477408	0.0168057
1.33333	1.5708	-0.0194339	0.016834
1.33333	2.35619	0.0139478	0.0175819
1.33333	3.14159	-0.0272397	0.0166271
1.33333	3.92699	0.0139478	0.0175819
1.33333	4.71239	-0.0194339	0.016834
1.77778	-0.785398	0.167899	0.116241
1.77778	0.0	-0.0706441	0.0983055
1.77778	0.785398	0.167899	0.116241
1.77778	1.5708	0.0950482	0.146265
1.77778	2.35619	-0.0214332	0.086434
1.77778	3.14159	-0.0376348	0.0747393
1.77778	3.92699	-0.0214332	0.086434
1.77778	4.71239	0.0950482	0.146265
