Eta Bin	Phi Bin	Content	Error
-1.33333	-1.0472	-0.0392861	0.0156392
-1.33333	-0.523599	-0.00284616	0.0156193
-1.33333	0.0	-0.0339445	0.0215681
-1.33333	0.523599	-0.00284616	0.0156193
-1.33333	1.0472	-0.0392861	0.0156392
-1.33333	1.5708	-0.00934973	0.0156767
-1.33333	2.0944	0.00209559	0.0156922
-1.33333	2.61799	0.0418722	0.0156963
-1.33333	3.14159	0.0649404	0.0217568
-1.33333	3.66519	0.0418722	0.0156963
-1.33333	4.18879	0.00209559	0.0156922
-1.33333	4.71239	-0.00934973	0.0156767
-0.888889	-1.0472	0.00570654	0.0100733
-0.888889	-0.523599	0.00816786	0.010039
-0.888889	0.0	-0.00725883	0.0137318
-0.888889	0.523599	0.00816786	0.010039
-0.888889	1.0472	0.00570654	0.0100733
-0.888889	1.5708	-0.014546	0.0100894
-0.888889	2.0944	-0.00854653	0.01006
-0.888889	2.61799	0.0235801	0.0100585
-0.888889	3.14159	0.0106164	0.0138102
-0.888889	3.66519	0.0235801	0.0100585
-0.888889	4.18879	-0.00854653	0.01006
-0.888889	4.71239	-0.014546	0.0100894
-0.444444	-1.0472	-0.020422	0.00828364
-0.444444	-0.523599	0.0174173	0.00822991
-0.444444	0.0	0.0168671	0.0110881
-0.444444	0.523599	0.0174173	0.00822991
-0.444444	1.0472	-0.020422	0.00828364
-0.444444	1.5708	-0.0363525	0.00831853
-0.444444	2.0944	-0.0164527	0.00829161
-0.444444	2.61799	0.0122387	0.00829931
-0.444444	3.14159	0.0274288	0.0112395
-0.444444	3.66519	0.0122387	0.00829931
-0.444444	4.18879	-0.0164527	0.00829161
-0.444444	4.71239	-0.0363525	0.00831853
0.0	-1.0472	-0.0149929	0.0104735
0.0	-0.523599	0.0106955	0.0103684
0.0	-1.66533e-016	0.122287	0.0141812
0.0	0.523599	0.0106955	0.0103684
0.0	1.0472	-0.0149929	0.0104735
0.0	1.5708	-0.0203604	0.0105346
0.0	2.0944	-0.0307648	0.0105069
0.0	2.61799	0.00147562	0.0105239
0.0	3.14159	0.0372087	0.0144733
0.0	3.66519	0.00147562	0.0105239
0.0	4.18879	-0.0307648	0.0105069
0.0	4.71239	-0.0203604	0.0105346
0.444444	-1.0472	-0.020422	0.00828364
0.444444	-0.523599	0.0174173	0.00822991
0.444444	0.0	0.0168671	0.0110881
0.444444	0.523599	0.0174173	0.00822991
0.444444	1.0472	-0.020422	0.00828364
0.444444	1.5708	-0.0363525	0.00831853
0.444444	2.0944	-0.0164527	0.00829161
0.444444	2.61799	0.0122387	0.00829931
0.444444	3.14159	0.0274288	0.0112395
0.444444	3.66519	0.0122387	0.00829931
0.444444	4.18879	-0.0164527	0.00829161
0.444444	4.71239	-0.0363525	0.00831853
0.888889	-1.0472	0.00570654	0.0100733
0.888889	-0.523599	0.00816786	0.010039
0.888889	0.0	-0.00725883	0.0137318
0.888889	0.523599	0.00816786	0.010039
0.888889	1.0472	0.00570654	0.0100733
0.888889	1.5708	-0.014546	0.0100894
0.888889	2.0944	-0.00854653	0.01006
0.888889	2.61799	0.0235801	0.0100585
0.888889	3.14159	0.0106164	0.0138102
0.888889	3.66519	0.0235801	0.0100585
0.888889	4.18879	-0.00854653	0.01006
0.888889	4.71239	-0.014546	0.0100894
1.33333	-1.0472	-0.0392861	0.0156392
1.33333	-0.523599	-0.00284616	0.0156193
1.33333	0.0	-0.0339445	0.0215681
1.33333	0.523599	-0.00284616	0.0156193
1.33333	1.0472	-0.0392861	0.0156392
1.33333	1.5708	-0.00934973	0.0156767
1.33333	2.0944	0.00209559	0.0156922
1.33333	2.61799	0.0418722	0.0156963
1.33333	3.14159	0.0649404	0.0217568
1.33333	3.66519	0.0418722	0.0156963
1.33333	4.18879	0.00209559	0.0156922
1.33333	4.71239	-0.00934973	0.0156767
