Eta Bin	Phi Bin	Content	Error
-1.33333	-1.0472	-0.00887622	0.0071579
-1.33333	-0.523599	0.0136835	0.00723299
-1.33333	0.0	0.0118688	0.0072698
-1.33333	0.523599	0.0136835	0.00723299
-1.33333	1.0472	-0.00887622	0.0071579
-1.33333	1.5708	-0.0221264	0.00712376
-1.33333	2.0944	0.00748627	0.00722958
-1.33333	2.61799	-0.00870342	0.00719052
-1.33333	3.14159	0.00182822	0.00720848
-1.33333	3.66519	-0.00870342	0.00719052
-1.33333	4.18879	0.00748627	0.00722958
-1.33333	4.71239	-0.0221264	0.00712376
-0.888889	-1.0472	-0.0114725	0.00431717
-0.888889	-0.523599	0.00341711	0.00436142
-0.888889	0.0	0.0124381	0.00436388
-0.888889	0.523599	0.00341711	0.00436142
-0.888889	1.0472	-0.0114725	0.00431717
-0.888889	1.5708	-0.0125845	0.00432467
-0.888889	2.0944	-0.00168926	0.00434427
-0.888889	2.61799	0.00216019	0.00434761
-0.888889	3.14159	0.0013072	0.00434192
-0.888889	3.66519	0.00216019	0.00434761
-0.888889	4.18879	-0.00168926	0.00434427
-0.888889	4.71239	-0.0125845	0.00432467
-0.444444	-1.0472	-0.00784778	0.00342717
-0.444444	-0.523599	0.0144448	0.00343374
-0.444444	0.0	0.0200929	0.00343432
-0.444444	0.523599	0.0144448	0.00343374
-0.444444	1.0472	-0.00784778	0.00342717
-0.444444	1.5708	-0.014898	0.00341723
-0.444444	2.0944	-0.00103189	0.00343803
-0.444444	2.61799	0.00354855	0.00345029
-0.444444	3.14159	0.00478971	0.00346049
-0.444444	3.66519	0.00354855	0.00345029
-0.444444	4.18879	-0.00103189	0.00343803
-0.444444	4.71239	-0.014898	0.00341723
0.0	-1.0472	-0.00425159	0.00316002
0.0	-0.523599	0.0023344	0.00313918
0.0	-1.66533e-016	0.0443037	0.00317336
0.0	0.523599	0.0023344	0.00313918
0.0	1.0472	-0.00425159	0.00316002
0.0	1.5708	-0.0114811	0.00315611
0.0	2.0944	-0.00550696	0.00317004
0.0	2.61799	0.00967967	0.0031958
0.0	3.14159	0.0102661	0.00320774
0.0	3.66519	0.00967967	0.0031958
0.0	4.18879	-0.00550696	0.00317004
0.0	4.71239	-0.0114811	0.00315611
0.444444	-1.0472	-0.00784778	0.00342717
0.444444	-0.523599	0.0144448	0.00343374
0.444444	0.0	0.0200929	0.00343432
0.444444	0.523599	0.0144448	0.00343374
0.444444	1.0472	-0.00784778	0.00342717
0.444444	1.5708	-0.014898	0.00341723
0.444444	2.0944	-0.00103189	0.00343803
0.444444	2.61799	0.00354855	0.00345029
0.444444	3.14159	0.00478971	0.00346049
0.444444	3.66519	0.00354855	0.00345029
0.444444	4.18879	-0.00103189	0.00343803
0.444444	4.71239	-0.014898	0.00341723
0.888889	-1.0472	-0.0114725	0.00431717
0.888889	-0.523599	0.00341711	0.00436142
0.888889	0.0	0.0124381	0.00436388
0.888889	0.523599	0.00341711	0.00436142
0.888889	1.0472	-0.0114725	0.00431717
0.888889	1.5708	-0.0125845	0.00432467
0.888889	2.0944	-0.00168926	0.00434427
0.888889	2.61799	0.00216019	0.00434761
0.888889	3.14159	0.0013072	0.00434192
0.888889	3.66519	0.00216019	0.00434761
0.888889	4.18879	-0.00168926	0.00434427
0.888889	4.71239	-0.0125845	0.00432467
1.33333	-1.0472	-0.00887622	0.0071579
1.33333	-0.523599	0.0136835	0.00723299
1.33333	0.0	0.0118688	0.0072698
1.33333	0.523599	0.0136835	0.00723299
1.33333	1.0472	-0.00887622	0.0071579
1.33333	1.5708	-0.0221264	0.00712376
1.33333	2.0944	0.00748627	0.00722958
1.33333	2.61799	-0.00870342	0.00719052
1.33333	3.14159	0.00182822	0.00720848
1.33333	3.66519	-0.00870342	0.00719052
1.33333	4.18879	0.00748627	0.00722958
1.33333	4.71239	-0.0221264	0.00712376
