Eta Bin	Phi Bin	Content	Error
-1.33333	-1.0472	0.0229965	0.020821
-1.33333	-0.523599	-0.00816172	0.020736
-1.33333	0.0	-0.0164079	0.0208187
-1.33333	0.523599	-0.00816172	0.020736
-1.33333	1.0472	0.0229965	0.020821
-1.33333	1.5708	-0.0520833	0.0205015
-1.33333	2.0944	0.00111697	0.0211869
-1.33333	2.61799	0.0429374	0.0211669
-1.33333	3.14159	-0.043294	0.0207308
-1.33333	3.66519	0.0429374	0.0211669
-1.33333	4.18879	0.00111697	0.0211869
-1.33333	4.71239	-0.0520833	0.0205015
-0.888889	-1.0472	-0.00819995	0.012444
-0.888889	-0.523599	0.00791086	0.0125449
-0.888889	0.0	0.0253735	0.0126401
-0.888889	0.523599	0.00791086	0.0125449
-0.888889	1.0472	-0.00819995	0.012444
-0.888889	1.5708	-0.0111454	0.0123189
-0.888889	2.0944	-0.00112895	0.0124749
-0.888889	2.61799	-0.00702585	0.0124745
-0.888889	3.14159	0.023257	0.012516
-0.888889	3.66519	-0.00702585	0.0124745
-0.888889	4.18879	-0.00112895	0.0124749
-0.888889	4.71239	-0.0111454	0.0123189
-0.444444	-1.0472	-0.0164654	0.00984605
-0.444444	-0.523599	0.0233037	0.00993029
-0.444444	0.0	0.0178499	0.00971437
-0.444444	0.523599	0.0233037	0.00993029
-0.444444	1.0472	-0.0164654	0.00984605
-0.444444	1.5708	-0.0115937	0.00975941
-0.444444	2.0944	-0.0147987	0.00981945
-0.444444	2.61799	0.0127966	0.00993497
-0.444444	3.14159	0.0167757	0.00992879
-0.444444	3.66519	0.0127966	0.00993497
-0.444444	4.18879	-0.0147987	0.00981945
-0.444444	4.71239	-0.0115937	0.00975941
0.0	-1.0472	-0.0133436	0.00902835
0.0	-0.523599	-0.013301	0.00891082
0.0	-1.66533e-016	0.0518134	0.00895915
0.0	0.523599	-0.013301	0.00891082
0.0	1.0472	-0.0133436	0.00902835
0.0	1.5708	-0.0129477	0.00897302
0.0	2.0944	0.00353932	0.00909392
0.0	2.61799	0.00803946	0.00918635
0.0	3.14159	0.0115768	0.00927086
0.0	3.66519	0.00803946	0.00918635
0.0	4.18879	0.00353932	0.00909392
0.0	4.71239	-0.0129477	0.00897302
0.444444	-1.0472	-0.0164654	0.00984605
0.444444	-0.523599	0.0233037	0.00993029
0.444444	0.0	0.0178499	0.00971437
0.444444	0.523599	0.0233037	0.00993029
0.444444	1.0472	-0.0164654	0.00984605
0.444444	1.5708	-0.0115937	0.00975941
0.444444	2.0944	-0.0147987	0.00981945
0.444444	2.61799	0.0127966	0.00993497
0.444444	3.14159	0.0167757	0.00992879
0.444444	3.66519	0.0127966	0.00993497
0.444444	4.18879	-0.0147987	0.00981945
0.444444	4.71239	-0.0115937	0.00975941
0.888889	-1.0472	-0.00819995	0.012444
0.888889	-0.523599	0.00791086	0.0125449
0.888889	0.0	0.0253735	0.0126401
0.888889	0.523599	0.00791086	0.0125449
0.888889	1.0472	-0.00819995	0.012444
0.888889	1.5708	-0.0111454	0.0123189
0.888889	2.0944	-0.00112895	0.0124749
0.888889	2.61799	-0.00702585	0.0124745
0.888889	3.14159	0.023257	0.012516
0.888889	3.66519	-0.00702585	0.0124745
0.888889	4.18879	-0.00112895	0.0124749
0.888889	4.71239	-0.0111454	0.0123189
1.33333	-1.0472	0.0229965	0.020821
1.33333	-0.523599	-0.00816172	0.020736
1.33333	0.0	-0.0164079	0.0208187
1.33333	0.523599	-0.00816172	0.020736
1.33333	1.0472	0.0229965	0.020821
1.33333	1.5708	-0.0520833	0.0205015
1.33333	2.0944	0.00111697	0.0211869
1.33333	2.61799	0.0429374	0.0211669
1.33333	3.14159	-0.043294	0.0207308
1.33333	3.66519	0.0429374	0.0211669
1.33333	4.18879	0.00111697	0.0211869
1.33333	4.71239	-0.0520833	0.0205015
